_id,title,slogan,description,stars,img_url,price,category
1,Gray Hooded Sweatshirt,The top hooded sweatshirt we offer,"Unless you live in a nudist colony, there are moments when the chill you feel demands that you put on something warm, and for those times, there's nothing better than this sharp MongoDB hoodie. Made of 100% cotton, this machine washable, mid-weight hoodie is all you need to stay comfortable when the temperature drops. And, since being able to keep your vital stuff with you is important, the hoodie features two roomy kangaroo pockets to ensure nothing you need ever gets lost.",0,/img/products/hoodie.jpg,29.99,Apparel
2,Coffee Mug,Keep your coffee hot!,"A mug is a type of cup used for drinking hot beverages, such as coffee, tea, hot chocolate or soup. Mugs usually have handles, and hold a larger amount of fluid than other types of cup. Usually a mug holds approximately 12 US fluid ounces (350 ml) of liquid; double a tea cup. A mug is a less formal style of drink container and is not usually used in formal place settings, where a teacup or coffee cup is preferred.",0,/img/products/mug.jpg,12.5,Kitchen
3,Stress Ball,Squeeze your stress away,"The moment life piles more onto your already heaping plate and you start feeling hopelessly overwhelmed, take a stress ball in hand and squeeze as hard as you can. Take a deep breath and just let that tension go. Repeat as needed. It will all be OK! Having something small, portable and close at hand is a must for stress management.",0,/img/products/stress-ball.jpg,5,Swag
4,Track Jacket,Go to the track in style!,"Crafted from ultra-soft combed cotton, this essential jacket features sporty contrast tipping and MongoDB's signature embroidered leaf.",0,/img/products/track-jacket.jpg,45,Apparel
5,Women's T-shirt,MongoDB shirt in-style,"Crafted from ultra-soft combed cotton, this essential t-shirt features sporty contrast tipping and MongoDB's signature leaf.",0,/img/products/white-mongo.jpg,45,Apparel
6,Brown Carry-all Bag,Keep extra items here,"Let your style speak for itself with this chic brown carry-all bag. Featuring a nylon exterior with solid contrast trim, brown in color, and MongoDB logo",0,/img/products/brown-bag.jpg,5,Swag
7,Brown Tumbler,Bring your coffee to go,The MongoDB Insulated Travel Tumbler is smartly designed to maintain temperatures and go anywhere. Dual wall construction will keep your beverages hot or cold for hours and a slide lock lid helps minimize spills.,0,/img/products/brown-tumbler.jpg,9,Kitchen
8,Pen (Green),The only pen you'll ever need,Erase and rewrite repeatedly without damaging documents. The needlepoint tip creates clear precise lines and the thermo-sensitive gel ink formula disappears with erasing friction.,0,/img/products/green-pen.jpg,2,Office
9,Pen (Black),The only pen you'll ever need,Erase and rewrite repeatedly without damaging documents. The needlepoint tip creates clear precise lines and the thermo-sensitive gel ink formula disappears with erasing friction.,0,/img/products/pen.jpg,2,Office
10,Green T-shirt,MongoDB community shirt,"Crafted from ultra-soft combed cotton, this essential t-shirt features sporty contrast tipping and MongoDB's signature leaf.",0,/img/products/green-tshirt.jpg,20,Apparel
